1898,4,10
1954,7,10
1916,3,10
1840,9,11
1764,7,7
1932,4,9
1858,9,10
2102,3,13
1912,9,9
1914,6,6
1802,8,7
1772,8,7
2028,4,11
2028,8,14
1942,9,10
1922,4,11
1950,9,10
1970,3,10
1860,5,11
1934,6,9
1984,4,9
2200,7,14
2060,4,11
1958,6,11
2128,8,10
1756,9,7
1764,8,7
1976,8,9
2110,1,12
1850,11,12
1936,6,10
1854,11,13
1890,7,10
1774,8,8
1714,8,7
1840,11,10
2148,5,14
1940,4,9
1812,7,8
1876,3,8
1964,8,12
1722,6,5
2096,7,11
1788,10,10
2054,4,11
2092,5,13
1992,9,13
1842,8,9
1990,5,10
1928,9,9
1886,8,12
1866,6,7
2166,6,18
2174,6,13
2016,8,12
1998,6,12
1818,11,8
1988,5,10
2056,6,14
1622,10,7
1868,6,11
1990,8,10
1922,5,8
2022,4,14
2054,3,7
2024,8,10
2196,5,16
1868,8,11
1816,6,7
1952,3,11
1890,5,9
1952,5,8
1900,7,12
2158,3,16
1872,5,11
1894,8,11
1876,7,11
1900,3,9
1864,7,6
1792,9,4
1890,6,10
1798,8,8
1902,4,9
1986,9,12
1926,5,10
2012,7,10
1998,5,6
1644,8,6
1834,7,7
1918,9,11
1994,5,11
1822,7,8
1716,7,5
1878,5,6
1804,18,13
1858,9,9
1912,8,10
1680,9,6
1848,8,8
2004,7,12
1964,6,11
1720,12,10
1898,8,14
1994,2,11
1914,10,9
2048,6,14
2222,5,17
1998,3,9
1950,7,10
2028,4,13
2040,9,14
1990,6,9
1916,10,9
1960,10,11
2016,8,12
1932,3,10
2028,4,13
1890,10,12
1964,2,10
1836,9,9
2178,4,16
1990,5,11
1594,11,7
1914,5,9
1842,8,8
1686,4,4
1852,7,5
1782,11,11
2008,3,11
1648,11,5
1886,11,10
1678,9,7
1948,6,12
1978,5,12
1926,8,8
1930,8,9
1964,5,10
1814,8,7
1968,8,9
1510,10,6
1860,6,10
1952,5,9
1526,12,7
2062,2,10
2016,9,13
2168,9,15
1900,12,12
1900,10,9
1824,7,7
2228,4,17
1980,5,12
2006,3,9
1892,4,11
1880,6,10
1962,12,14
1824,6,8
1974,6,10
1882,9,13
1828,11,10
2082,7,14
2006,9,13
1990,6,10
1954,6,10
1702,10,10
1700,8,7
1856,11,11
1878,5,7
1960,8,10
1828,7,10
2054,7,13
1972,6,8
1742,9,7
1736,8,10
1964,8,14
1812,6,8
1876,8,8
1976,6,9
1818,11,8
1668,12,7
1816,9,9
1848,12,9
2018,7,12
1868,10,12
2096,8,10
1958,6,9
1814,12,10
1924,9,12
1988,8,11
1656,8,4
2008,4,8
1804,3,6
1872,8,10
2096,8,14
1750,6,5
1764,5,6
1642,6,3
1894,8,10
1912,7,12
1874,6,7
2074,5,11
1958,3,10
1998,6,8
1924,8,11
1626,9,6
1858,11,9
2142,6,14
1950,8,12
1704,12,6
1930,8,11
1744,8,10
1942,5,11
1822,6,5
1904,3,6
2166,4,18
1916,8,9
1720,8,8
1962,6,10
1934,11,10
1852,7,9
1882,8,11
1654,9,6
1682,7,7
2142,8,11
2068,5,12
1856,4,9
1956,5,10
2080,2,11
1844,5,10
