2128,5,11
1968,8,11
1876,10,9
1842,12,10
1890,6,10
1650,11,8
2202,6,17
2014,5,11
1900,6,9
1942,4,6
1938,7,9
2144,5,13
1608,6,6
1808,9,10
1928,7,12
2020,4,10
1936,2,7
1836,7,4
1782,6,9
2010,6,11
1692,8,6
1818,9,12
1794,5,6
2196,6,19
1898,6,9
1952,6,11
1948,3,10
2242,5,17
2148,5,15
1820,7,8
1828,5,7
2192,6,16
1670,7,5
1848,6,9
1930,8,11
1602,10,7
1862,9,11
1894,8,10
1846,8,7
2112,3,13
2018,4,11
1996,5,10
2006,7,13
1994,8,14
1922,3,10
1648,8,6
1962,4,15
2052,10,11
1762,11,9
2042,3,9
1782,8,8
1826,7,11
2146,6,12
1678,11,6
1648,10,7
1564,14,7
2080,4,12
1708,8,8
1918,9,12
1856,6,7
2028,7,12
1856,7,7
1784,7,5
2086,3,9
1956,6,13
1524,10,2
1840,9,10
1614,14,6
2056,5,12
2022,9,14
1808,10,9
2126,2,11
1770,11,8
1822,10,10
1936,7,10
1896,7,11
1878,4,9
1928,6,10
2064,8,13
2220,5,11
2144,6,14
1730,6,6
1696,10,8
1832,9,8
1830,12,7
2000,10,12
2070,2,8
2066,5,15
1564,10,6
1930,7,11
1836,4,8
1738,10,7
2064,2,13
2046,2,11
1732,10,10
1832,9,8
1862,10,8
1748,10,8
1798,5,5
1994,5,12
1858,8,8
1776,7,7
1642,10,10
2000,3,10
2206,4,14
1886,8,12
1918,7,10
1764,7,6
1808,8,10
1982,5,9
1824,8,9
1858,10,11
1612,8,6
1786,9,7
1948,7,8
1848,9,10
1834,10,10
1964,7,11
2048,4,11
1934,9,10
1682,7,8
2010,6,12
1962,6,9
1774,7,7
1768,7,8
1780,8,8
1790,6,6
1908,6,10
1654,11,4
1940,6,10
1834,5,9
1808,9,10
1760,8,8
1666,11,8
2004,8,12
2084,5,10
1734,9,8
1850,8,8
1978,6,13
2206,3,12
1888,4,9
2114,8,16
1840,6,11
1814,5,10
1940,5,11
1796,8,8
1656,8,8
1686,13,8
1858,3,6
1884,6,10
2088,6,12
1932,8,10
1854,3,7
1874,6,9
1720,9,6
1964,7,11
1840,3,8
1690,13,8
1902,4,10
2006,4,13
1988,7,13
2064,6,14
1900,5,10
1956,9,12
1834,8,8
1918,10,11
2000,7,11
1878,6,7
2050,2,12
1770,9,8
1828,8,7
2184,3,14
1752,10,8
1892,6,11
2120,4,14
1996,10,11
1864,10,12
1824,5,7
2096,6,14
1926,5,9
2134,5,14
1828,9,11
1708,11,5
2218,5,14
1870,8,8
1664,10,9
1820,12,11
2090,5,10
1940,11,14
1714,9,7
2162,5,14
1672,7,7
1840,5,10
1968,7,9
1678,8,4
1820,8,8
1724,6,5
1838,9,7
1968,6,14
1866,5,9
1984,3,10
1862,8,9
2086,5,14
1708,9,6
1920,9,9
1860,8,10
1908,12,13
1814,10,10
1876,8,10
1838,7,8
1926,8,11
1778,9,11
2078,2,6
1692,7,4
2000,2,10
1976,5,8
2056,9,13
1876,7,10
1954,5,11
2016,2,10
1910,10,12
2006,6,13
1746,7,9
2018,7,10
2068,9,16
1750,6,9
2012,7,11
1738,6,4
1822,6,11
1932,6,11
1952,6,13
1918,10,11
1674,11,7
1730,12,10
1790,8,7
2194,6,16
1954,5,11
1928,6,7
2268,6,15
2070,5,11
1784,8,9
1982,7,11
1916,6,9
1858,6,11
2022,8,11
1902,4,8
1986,5,11
1844,3,7
1924,9,11
1958,5,11
2044,5,14
1846,9,8
1562,8,8
1784,7,7
1866,10,13
1858,7,10
1786,11,8
1748,4,7
1876,5,8
1924,6,11
2234,3,14
1736,11,8
1996,2,10
1910,8,9
1870,4,8
1660,11,6
1976,4,11
1684,7,2
1848,9,11
1620,8,6
1698,6,5
1876,8,9
1936,11,13
1594,8,5
1832,7,11
1748,5,5
1978,4,8
1790,7,6
1668,11,6
1946,5,11
1824,5,9
1644,9,5
1740,12,11
2030,5,13
1682,9,3
1912,9,9
2036,10,12
1574,9,5
2110,5,14
1896,9,11
1762,10,9
2096,5,11
2004,8,13
2124,4,12
1730,9,9
1856,9,10
1796,4,7
2018,7,9
1878,6,6
1786,5,7
2122,4,10
